percorso;num;id_ferm
"7277";"28";"12588"
"10294";"21";"12153"
"9984";"22";"13933"
"12957";"9";"18147"
"8260";"9";"12169"
"11524";"13";"12988"
"13158";"13";"13233"
"9303";"23";"16440"
"10117";"13";"12407"
"9747";"17";"12034"
"10123";"16";"12962"
"8599";"16";"13974"
"9693";"3";"11817"
"10306";"9";"10180"
"12987";"16";"17502"
"5812";"8";"13348"
"10770";"6";"10062"
"3575";"37";"12068"
"7214";"3";"15879"
"7608";"10";"13656"
"7891";"2";"13425"
"11825";"25";"16266"
"12842";"9";"16445"
"12603";"11";"10987"
"9212";"1";"11037"
"12314";"2";"17073"
"13374";"3";"16841"
"12162";"13";"11764"
"12163";"23";"10891"
"6692";"27";"10740"
"11709";"4";"11823"
"13127";"9";"19710"
"5785";"8";"14607"
"12305";"8";"15743"
"12712";"8";"11048"
"9922";"8";"12971"
"13023";"15";"12728"
"11333";"9";"12713"
"13125";"15";"12211"
"583";"2";"12935"
"7181";"11";"13832"
"6293";"20";"16206"
"12574";"3";"10473"
"3464";"4";"12775"
"12894";"26";"13312"
"7123";"8";"12104"
"10590";"10";"11670"
"7275";"2";"14111"
"6774";"5";"12437"
"7654";"2";"16474"
"7181";"10";"13831"
"6291";"4";"16199"
"12271";"16";"13280"
"11346";"4";"11170"
"11322";"19";"10738"
"3533";"7";"11445"
"3578";"26";"11906"
"10095";"5";"11389"
"10148";"9";"13532"
"9303";"19";"16436"
"10545";"6";"14877"
"4653";"2";"10524"
"12245";"6";"15103"
"9629";"25";"12765"
"11202";"6";"10590"
"12891";"7";"19633"
"11198";"10";"10134"
"13010";"1";"16041"
"11405";"1";"15602"
"9878";"13";"10207"
"12290";"28";"16835"
"12073";"27";"15640"
"12819";"6";"19871"
"13283";"10";"10633"
"11353";"28";"11196"
"7547";"1";"10734"
"11767";"31";"11187"
"9439";"13";"12350"
"7285";"2";"13862"
"10036";"25";"11273"
"9970";"7";"12143"
"10401";"16";"13995"
"9175";"4";"14600"
"10117";"14";"12646"
"13031";"14";"12391"
"13023";"10";"16505"
"12178";"26";"16193"
"7621";"18";"14025"
"9158";"10";"11618"
"13133";"33";"12735"
"10152";"12";"11799"
"9903";"23";"15371"
"475";"6";"12515"
"10386";"13";"13104"
"7548";"15";"10719"
"8599";"13";"12588"
"12976";"36";"12765"
"479";"12";"12531"
"12913";"7";"17660"
"9903";"11";"11093"
"12759";"22";"17389"
"12174";"14";"13448"
"9904";"10";"11087"
"12759";"25";"14872"
"7621";"11";"17418"
"13030";"9";"12126"
"12394";"1";"16547"
"10304";"22";"10585"
"9901";"22";"11094"
"13146";"12";"12681"
"13139";"15";"16673"
"9984";"8";"13627"
"12957";"11";"17939"
"6252";"32";"13670"
"9212";"6";"11358"
"12178";"6";"16251"
"7275";"8";"13854"
"11608";"18";"17114"
"11628";"6";"11714"
"8230";"6";"15117"
"10545";"25";"13425"
"8090";"1";"10333"
"8090";"13";"15052"
"9177";"14";"15864"
"12277";"1";"16353"
"11334";"11";"12719"
"12290";"29";"13732"
"12254";"13";"17583"
"7542";"8";"11298"
"9212";"8";"11029"
"6708";"23";"12413"
"11346";"8";"11153"
"11662";"18";"12626"
"12174";"1";"13487"
"12174";"10";"13467"
"7275";"17";"13864"
"12177";"21";"16241"
"9177";"3";"13637"
"8658";"22";"15630"
"12395";"16";"16447"
"13200";"6";"16110"
"4242";"13";"12808"
"6778";"1";"15877"
"12891";"18";"18143"
"6142";"8";"11659"
"3575";"11";"11608"
"10389";"4";"17671"
"8862";"4";"17736"
"7607";"21";"14600"
"8174";"2";"11930"
"5804";"19";"13351"
"7796";"9";"10632"
"3275";"12";"11137"
"11353";"4";"10786"
"10050";"5";"17858"
"9629";"6";"15046"
"10084";"14";"12144"
"12913";"20";"16895"
"6244";"18";"13200"
"8656";"23";"12637"
"6740";"6";"16808"
"8758";"23";"11934"
"12841";"11";"16557"
"12198";"19";"13551"
"10013";"4";"13800"
"4405";"22";"10191"
"6293";"9";"16167"
"12491";"3";"10522"
"10152";"13";"11796"
"7542";"31";"10732"
"4653";"21";"11570"
"12290";"14";"13179"
"12560";"12";"10689"
"12390";"3";"19842"
"10492";"3";"10229"
"12130";"9";"13392"
"9982";"19";"14038"
"13010";"17";"17453"
"12913";"16";"10889"
"6778";"13";"12302"
"12196";"4";"14205"
"12987";"11";"12679"
"10306";"27";"10585"
"11608";"12";"14144"
"9160";"3";"11542"
"13031";"1";"12614"
"12958";"4";"15614"
"4703";"5";"15197"
"12819";"2";"13224"
"6796";"9";"13312"
"11197";"14";"10061"
"5484";"11";"15523"
"9902";"26";"18081"
"12254";"11";"10516"
"13133";"30";"12709"
"8056";"19";"13703"
"12021";"16";"14482"
"13158";"21";"15155"
"7565";"1";"15305"
"13154";"15";"13215"
"13008";"19";"16437"
"12277";"15";"16364"
"12293";"7";"13738"
"11424";"4";"10856"
"11608";"2";"13871"
"13372";"11";"13312"
"10149";"6";"15191"
"12913";"19";"18026"
"13283";"11";"10906"
"9779";"17";"14094"
"10117";"10";"12390"
"10545";"9";"16747"
"12913";"2";"10201"
"13373";"5";"14593"
"9303";"6";"16423"
"12958";"16";"19627"
"12162";"34";"17468"
"13192";"4";"12852"
"12142";"9";"19815"
"10151";"3";"17722"
"11634";"11";"11756"
"6803";"12";"10009"
"11684";"5";"11715"
"10097";"7";"13867"
"9901";"15";"11112"
"12176";"19";"16239"
"12390";"16";"13205"
"12728";"25";"11809"
"6798";"4";"15149"
"9216";"13";"11376"
"11345";"7";"15458"
"3533";"12";"11162"
"6496";"2";"12893"
"11662";"19";"12623"
"4039";"10";"12633"
"13190";"27";"12095"
"6692";"31";"11044"
"10544";"28";"13377"
"9457";"43";"10480"
"9941";"7";"12530"
"3578";"2";"13165"
"8656";"19";"12616"
"11197";"16";"10067"
"13139";"10";"16626"
"8656";"13";"12906"
"9922";"2";"11084"
"11633";"10";"12036"
"3976";"10";"13123"
"8758";"21";"12236"
"6737";"11";"13099"
"12574";"16";"11003"
"13008";"6";"16481"
"5131";"15";"16193"
"12917";"5";"11036"
"10084";"7";"11893"
"9439";"6";"12595"
"11657";"13";"13377"
"12560";"25";"11263"
"7542";"13";"10954"
"11353";"23";"10849"
"9457";"5";"12243"
"9303";"9";"16426"
"13023";"2";"16464"
"8222";"8";"15288"
"12962";"20";"17798"
"12132";"15";"13479"
"9319";"7";"13132"
"7275";"19";"15243"
"6692";"4";"10290"
"9670";"11";"12153"
"4282";"30";"10720"
"11348";"20";"17085"
"12162";"33";"17467"
"322";"5";"16812"
"12389";"3";"11174"
"10013";"17";"13312"
"12560";"18";"11281"
"13128";"19";"12772"
"9629";"31";"16092"
"654";"10";"12770"
"9901";"18";"11106"
"9693";"16";"12333"
"3533";"15";"11130"
"13146";"20";"18494"
"5795";"3";"15415"
"7455";"20";"11173"
"8656";"17";"12619"
"9962";"5";"11863"
"9443";"17";"12322"
"10006";"12";"12186"
"12293";"11";"13741"
"6782";"3";"12306"
"12728";"3";"10862"
"12490";"10";"12020"
"12574";"18";"11009"
"9982";"38";"17108"
"13193";"14";"12646"
"9746";"21";"11781"
"4084";"16";"11146"
"7891";"6";"13429"
"10096";"9";"17978"
"11825";"1";"16274"
"4086";"5";"13162"
"12976";"19";"16778"
"5482";"2";"12706"
"13133";"22";"18115"
"4508";"1";"15786"
"12074";"26";"16152"
"12913";"11";"10562"
"9367";"48";"12709"
"9984";"30";"13940"
"10123";"20";"12369"
"10300";"25";"17798"
"12402";"4";"17674"
"3578";"3";"13166"
"5131";"11";"16189"
"10084";"1";"17341"
"7607";"25";"13567"
"12283";"6";"17684"
"4039";"20";"12824"
"9899";"13";"10544"
"12133";"7";"13494"
"3001";"20";"10642"
"9457";"26";"11261"
"12177";"24";"16244"
"12962";"14";"10558"
"7225";"3";"13886"
"12271";"13";"13277"
"10006";"18";"11932"
"6777";"24";"11631"
"12176";"23";"16244"
"12273";"14";"13293"
"12296";"5";"13191"
"322";"19";"13629"
"4086";"19";"10586"
"6802";"3";"15905"
"9629";"10";"14026"
"13136";"3";"16659"
"4084";"21";"13168"
"11653";"5";"11702"
"12176";"10";"16230"
"12290";"24";"13722"
"3578";"18";"12475"
"7210";"6";"11961"
"10077";"13";"12793"
"9922";"3";"11086"
"12603";"1";"10305"
"7543";"2";"16919"
"6294";"23";"15758"
"10590";"8";"13120"
"13142";"3";"16076"
"5492";"17";"12716"
"9982";"11";"13906"
"12394";"10";"16556"
"6142";"24";"14928"
"12174";"11";"13468"
"12132";"2";"13456"
"12293";"21";"13192"
"13158";"16";"18111"
"8174";"23";"12309"
"8093";"27";"10234"
